standar,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGO,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,Todas las modalityes,11.1.1,1,,"El talento humano en salud y otros profesionales que se relacionan con la atención o resultados en salud de los usuarios, cuentan con los títulos, según aplique, de educación superior o certificados de aptitud ocupacional, expedidos por la entidad educativa competente. En el caso de títulos o certificados obtenidos en el extranjero, copia de la resolución de convalidación expedida por el Ministerio de Educación Nacional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Todas las modalityes,11.1.1,2,,El talento humano en salud cuenta con copia de la resolución de autorización del ejercicio expedido por la autoridad competente o inscripción en el Registro Único Nacional de Talento Humano en Salud -ReTHUS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Todas las modalityes,11.1.1,3,,"El prestador de servicios de salud determina la cantidad necesaria de talento humano requerido para cada uno de los servicios ofertados y prestados, de acuerdo con la capacidad instalada, la relación entre oferta y demanda, la oportunidad en la prestación, tiempo de la atención y el riesgo en la atención. Este criterio no aplica para el profesional independiente de salud",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Todas las modalityes,11.1.1,4,,"El prestador de servicios de salud que actúe como escenario de práctica formativa en el área de la salud, cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Todas las modalityes,11.1.1,4,4.1,• Convenio vigente con la institución educativa autorizada por la entidad competente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Todas las modalityes,11.1.1,4,4.2,• Información documentada de los mecanismos de supervisión permanente del personal en entrenamiento.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Todas las modalityes,11.1.1,4,4.3,"• Estudio de capacidad instalada en el cual se determine el número máximo de estudiantes que simultáneamente puedan acceder por programa de formación y por jornada, para cada uno de los servicios que se utilicen como escenarios de práctica formativa en el área de la salud, estudio que debe ser elaborado teniendo en cuenta los “lineamientos de referencia para la asignación de cupos de estudiantes en escenarios clínicos” publicados por el Ministerio de Salud y Protección Social.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Todas las modalityes,11.1.1,5,,"En los servicios de salud diferentes al servicio de consulta externa especializada de dolor y cuidado paliativo, donde se atienden pacientes con enfermedades terminales, crónicas, degenerativas e irreversibles, a los cuales se les decida como conducta médica; como parte del plan integral de cuidado que gestiona el equipo de salud, o por solicitud del paciente; el manejo del dolor y cuidado paliativo, el profesional de la medicina tratante cuenta con constancia de asistencia en las acciones de formación continua en el manejo del dolor y cuidado paliativo, cuando no sea especialista en dolor y cuidado paliativo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Todas las modalityes,11.1.1,6,,"El talento humano en salud de los servicios de atención del parto, cuidado intensivo y cuidado intermedio neonatal, pediátrico y adultos, cuentan con constancia de asistencia en las acciones de formación continua para la gestión del duelo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Todas las modalityes,11.1.1,7,,"En los servicios de salud donde se realicen imágenes diagnósticas por ultrasonido, cuenta con médico especialista en radiología e imágenes diagnósticas también podrán realizar imágenes diagnosticas aquellos médicos especialistas, quienes en su pensum o formación académica hayan adquirido los conocimientos del manejo e interpretación del espectro electromagnético, del ultrasonido especialmente, así como de las radiaciones ionizantes para establecer el diagnóstico o el tratamiento de las enfermedades inherentes a su especialidad, para lo cual deberá acreditar el respectivo certificado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
