standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGOS,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,Mediana,"Modalidades intramural, extramural jornada de salud, unidad móvil y domiciliaria, telemedicina - prestador remisor",11.3.4.2,1,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana,"Modalidades intramural, extramural jornada de salud, unidad móvil y domiciliaria, telemedicina - prestador remisor",11.3.4.2,1,1.1,"• Médico especializado en radiología e imágenes diagnósticas o aquellos médicos especialistas quienes en su pensum o formación académica hayan adquirido los conocimientos del manejo e interpretación del espectro electromagnético, del ultrasonido especialmente, así como de las radiaciones ionizantes para establecer el diagnóstico y/o el tratamiento de las enfermedades inherentes a sus especialidades. Para lo cual deberá acreditar el respectivo certificado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana,"Modalidades intramural, extramural jornada de salud, unidad móvil y domiciliaria, telemedicina - prestador remisor",11.3.4.2,1,1.2,"• Cuando se realicen procedimientos de resonancia magnética cuenta con Técnico profesional o tecnólogo en imágenes diagnósticas, para la operación de equipos y adquisición de imágenes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana,Modalidad telemedicina - prestador de referencia,11.3.4.2,2,,Cumple con los criterios que le sean aplicables de todos los servicios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana,Modalidad telemedicina - prestador de referencia,11.3.4.2,3,,"La interpretación de las imágenes diagnósticas es realizada médico especializado en radiología e imágenes diagnósticas o aquellos médicos especialistas quienes en su pensum o formación académica hayan adquirido los conocimientos del manejo e interpretación del espectro electromagnético, del ultrasonido especialmente, así como de las radiaciones ionizantes para establecer el diagnóstico y/o el tratamiento de las enfermedades inherentes a sus especialidades. Para lo cual deberá acreditar el respectivo certificado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,"Modalidades intramural, extramural unidad móvil, telemedicina - prestador remisor",11.3.4.2,4,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente, cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,"Modalidades intramural, extramural unidad móvil, telemedicina - prestador remisor",11.3.4.2,4,4.1,"• Ambiente exclusivo para el equipo generador de radiación no ionizante. La dimensión de este ambiente debe ser acorde al tipo de equipo generador de radiación no ionizante, su ficha técnica y a los procedimientos que se realicen, debe permitir movilización del talento humano, pacientes, usuarios y equipos biomédicos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,"Modalidades intramural, extramural unidad móvil, telemedicina - prestador remisor",11.3.4.2,4,4.2,"• Unidad sanitaria, cuando el procedimiento lo requiera.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,"Modalidades intramural, extramural unidad móvil, telemedicina - prestador remisor",11.3.4.2,5,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,"Modalidades intramural, extramural unidad móvil, telemedicina - prestador remisor",11.3.4.2,5,5.1,"• Vestidor para pacientes y área para casilleros, cuando el procedimiento lo requiera.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,"Modalidades intramural, extramural unidad móvil, telemedicina - prestador remisor",11.3.4.2,5,5.2,• Área para almacenamiento de dispositivos médicos e insumos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,"Modalidades intramural, extramural unidad móvil, telemedicina - prestador remisor",11.3.4.2,5,5.3,• Sala de espera.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,"Modalidades intramural, extramural unidad móvil, telemedicina - prestador remisor",11.3.4.2,5,5.4,• Unidades sanitarias discriminadas por sexo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,"Modalidades extramural jornada de salud, domiciliaria, telemedicina - prestador remisor",11.3.4.2,6,,Cumple con los criterios que le sean aplicables de todos los servicios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,Modalidad telemedicina - prestador de referencia,11.3.4.2,7,,Cumple con los criterios que le sean aplicables de todos los servicios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Mediana,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.2,8,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Mediana,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.2,8,8.1,"• Cuenta con él o los equipos generadores de radiaciones no ionizantes, según los exámenes diagnósticos realizados.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Mediana,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.2,8,8.2,• Cuando se realice resonancia magnética y ultrasonido cuenta con pantalla o monitor grado médico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
