standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGO,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,1,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,1,1.1,"• Profesional de la enfermería, cuando en el servicio se administren terapias con radionúclidos con actividad mayor a 30 mCi, que cuenta con constancia de asistencia en las acciones de formación continua en protección radiológica, radiofarmacia y radiofármacos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,1,1.2,"• Tecnólogo en medicina nuclear o tecnólogo en manejo de fuentes no selladas de uso diagnóstico y terapéutico o tecnólogo en imágenes diagnósticas, que cuenta con constancia de asistencia en las acciones de formación continua en protección radiológica, radiofarmacia y radiofármacos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,1,1.3,• Oficial de protección radiológica para toda la institución.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,2,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,2,2.1,"• Profesional de la medicina especialista en medicina nuclear, con permanencia durante los procedimientos definidos por el prestador de servicios de salud en el estándar de procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,2,2.2,• Profesional con título de postgrado en física médica con permanencia durante los procedimientos definidos por el prestador de servicios de salud en el estándar de procesos prioritarios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Alta,Modalidad telemedicina - prestador de referencia,11.3.5,3,,Cumple con los criterios que le sean aplicables de todos los servicios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Alta,Modalidad telemedicina - prestador de referencia,11.3.5,4,,"El profesional de la medicina especialista en medicina nuclear, cuando esté en disponibilidad y no se requiera su permanencia, puede hacer uso de la categoría telexperticia sincrónica entre profesionales de la salud, de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.5,5,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
