standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGO,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,1,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,1,1.1,• Tecnólogo en radioterapia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,1,1.2,• Profesional con título de postgrado en física médica.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,1,1.3,• Oficial de protección radiológica para toda la institución,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,2,,"Disponibilidad de:
Profesional de la medicina especialista en radioterapia u oncología radioterápica, con permanencia durante los procedimientos definidos por el prestador de servicios de salud en el estándar de procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Alta,Modalidad telemedicina - prestador de referencia,11.3.6,3,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Alta,Modalidad telemedicina - prestador de referencia,11.3.6,4,,"El profesional de la medicina especialista en radioterapia u oncología radioterápica, cuando esté  en disponibilidad y no se requiera su permanencia, puede hacer uso de la categoría telexperticia sincrónica entre profesionales de la salud, de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,5,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,5,5.1,"• Ambiente de moldeo con disponibilidad de área para mesón de trabajo con poceta, cuando la tecnología utilizada la requiera.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,5,5.2,"• Ambiente para delimitación, planeación y dosimetría clínica de tratamientos, con ambiente o área para el almacenamiento de equipos de dosimetría.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,5,5.3,"• Ambiente de tratamiento de teleterapia con unidades de mega voltaje (acelerador lineal). La dimensión de este ambiente debe ser acorde al tipo de equipo, su ficha técnica y a los procedimientos que se realicen, debe permitir movilización del talento humano, pacientes, usuarios y equipos biomédicos.
Cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,5,5.3.1,"• Señal luminosa a la entrada de la sala, indicando que el equipo está en funcionamiento.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,5,5.3.2,• Circuito cerrado de TV.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,5,5.3.3,• Enclavamientos de seguridad en la puerta para suspender la irradiación en caso de  que la puerta se abra.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,5,5.4,"• Ambiente de tratamiento de teleterapia con unidades superficiales (ortovoltaje), con señal luminosa y acústica a la entrada de la sala, indicando que el equipo está en funcionamiento
La dimensión de este ambiente debe ser acorde al tipo de equipo, su ficha técnica y a los procedimientos que se realicen, debe permitir movilización del talento humano, pacientes, usuarios y equipos biomédicos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,5,5.5,• Ambiente o área de control/ comando ubicado junto al ambiente de tratamiento de teleterapia o al ambiente de simulación.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.6,5,5.6,"• Cuando se realicen procedimientos de braquiterapia de baja y alta tasa, el ambiente de braquiterapia cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
