standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGOS,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.7,1,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.7,1,1.1,"• Profesional de la enfermería especialista en oncología o profesional de la enfermería con constancia de asistencia en las acciones de formación continua en el cuidado integral del paciente adulto o pediátrico con quimioterapia, según oferta.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.7,1,1.2,"• Auxiliares de enfermería con constancia de asistencia en las acciones de formación continua en el cuidado integral del paciente adulto o pediátrico con quimioterapia, según oferta.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.7,1,1.3,"• Químico (a) Farmacéutico (a) con constancia de asistencia en las acciones de formación continua en el cuidado integral del paciente adulto o pediátrico con quimioterapia, según oferta.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.7,2,,"Disponibilidad de: Profesional de la medicina especialista en oncología o especialista en hemato-oncología o especialista en hematología, según el tipo de cáncer a tratar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.7,3,,"Si se ofrecen servicios de oncología pediátrica, el talento humano en salud cuenta con constancia de asistencia en las acciones de formación continua del cuidado del paciente pediátrico con quimioterapia o con patología onco-hematológica a excepción del Profesional de la medicina especialista en pediatría",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Alta,Modalidad telemedicina - prestador de referencia,11.3.7,4,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Alta,Modalidad telemedicina - prestador de referencia,11.3.7,5,,"El profesional de la medicina especialista en oncología o especialista en hemato-oncología o especialista en hematología, según el tipo de cáncer a tratar, puede realizar la disponibilidad en la categoría telexperticia sincrónica entre profesionales de la salud de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.7,6,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.7,6,6.1,• Sala de espera.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.7,6,6.2,• Unidades sanitarias discriminadas por sexo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.7,6,6.3,• Ambiente de quimioterapia que cuenta con área para casilleros.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.7,7,,"Área para la administración de medicamentos para paciente adulto, si lo oferta. La distribución de las sillas de quimioterapia dentro del área debe permitir movilización del talento humano, pacientes, usuarios y equipos biomédicos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.7,8,,"Área para la administración de medicamentos para paciente pediátrico, si lo oferta. La distribución de las sillas de quimioterapia dentro del área debe permitir movilización del talento humano, pacientes, usuarios y equipos biomédicos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.7,8,8.1,• Salida de oxígeno medicinal por silla o camilla.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.7,8,8.2,• Ambiente o área para administración prolongada de quimioterapia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.7,8,8.3,• Puesto de enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.7,8,8.4,• Área o ambiente de trabajo limpio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.7,8,8.5,• Ambiente de trabajo sucio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.7,8,8.6,• Sala de procedimientos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.7,8,8.7,"• Área de recuperación, que puede ser la misma silla de tratamiento.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.7,8,8.8,• Unidad sanitaria.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,Modalidad de telemedicina - prestador de referencia,11.3.7,9,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.7,10,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.7,10,10.1,• La sala de quimioterapia cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.7,10,10.1.1,• Silla reclinable escualizable de material que permita procesos de limpieza y desinfección.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
