standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGOS,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,Mediana,"Modalidades intramural, telemedicina - prestador remisor",11.3.8,1,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana,"Modalidades intramural, telemedicina - prestador remisor",11.3.8,1,1.1,"• Profesional de la medicina especialista en cardiología, o profesional de la medicina especialista en cirugía vascular, o profesional de la medicina especialista en medicina vascular o profesional de la medicina especialista en angiología clínica o profesional de la medicina especialista en radiología e imágenes diagnósticas. Este talento humano realiza procedimientos y su interpretación, en el ámbito de su competencia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana,"Modalidades intramural, telemedicina - prestador remisor",11.3.8,1,1.2,• Profesional de la enfermería que cuenta con constancia de asistencia en acciones de formación continua en soporte vital básico y para la realización del o los procedimientos ofertados.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana,Modalidad telemedicina - prestador de referencia,11.3.8,2,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana,Modalidad telemedicina - prestador de referencia,11.3.8,3,,"El profesional de la medicina especialista en cardiología, o profesional de la medicina especialista en cirugía vascular, o profesional de la medicina especialista en medicina vascular o profesional de la medicina especialista en angiología clínica o profesional de la medicina especialista en radiología e imágenes diagnósticas puede hacer uso de la categoría telexperticia sincrónica o asincrónica entre profesionales de la salud de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,"Modalidades intramural, telemedicina - prestador remisor",11.3.8,4,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,"Modalidades intramural, telemedicina - prestador remisor",11.3.8,5,,Cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,"Modalidades intramural, telemedicina - prestador remisor",11.3.8,5,5.1,• Lavamanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,"Modalidades intramural, telemedicina - prestador remisor",11.3.8,5,5.2,• Vestidor de pacientes con área para casilleros.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,"Modalidades intramural, telemedicina - prestador remisor",11.3.8,5,5.3,• Sala de procedimientos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,"Modalidades intramural, telemedicina - prestador remisor",11.3.8,6,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,"Modalidades intramural, telemedicina - prestador remisor",11.3.8,6,6.1,• Sala de espera.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,"Modalidades intramural, telemedicina - prestador remisor",11.3.8,6,6.2,• Unidades sanitarias discriminadas por sexo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
