standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGOS,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,No aplica,Intramural,11.3.10,1,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente, cuando el servicio de gestión pre- transfusional sea interdependiente de:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,Intramural,11.3.10,1,1.1,• Servicios de salud de alta complejidad: Cuenta con profesional de bacteriología.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,Intramural,11.3.10,1,1.2,• Servicios de salud de baja y mediana complejidad: Disponibilidad de profesional de bacteriología.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,Intramural,11.3.10,2,,El profesional de bacteriología cuenta con constancia de asistencia en las acciones de formación continua en el manejo de la gestión pre transfusional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Intramural,11.3.10,3,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Intramural,11.3.10,4,,Cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Intramural,11.3.10,4,4.1,"• Área para recepción, información y entrega de componentes sanguíneos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Intramural,11.3.10,4,4.2,• Ambiente técnico de procedimientos que cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Intramural,11.3.10,4,4.2.1,• Lavamanos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Intramural,11.3.10,4,4.2.2,• Mesón de trabajo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
