standar,complexity,modality,article,section,paragraph,criteria,cumply,NO cumply,applys,HALLAZGOS,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,No aplica,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.3.11,1,,cumply con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con: Profesional de bacteriología o auxiliar de laboratorio clínico o auxiliar de enfermería.,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.3.11,2,,Disponibilidad de: Profesional de bacteriología quien realiza la supervisión cuando la toma de muestras es realizada por el auxiliar.,,X,,REVISAR CON PROCEDIMIENTO ,,Buscar hoja de vida Betty,Faride,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.11,3,,cumply con los criterios que le sean aplicables de todos los servicios y adicionalmente,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.11,4,,Cuenta con:,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.11,4,4.1,"• Área para recepción de muestras, información y entrega de resultados.",,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.11,4,4.2,• Cubículo para la toma de muestras.,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.11,4,4.3,"• Ambiente para la toma de muestras especiales cuando lo oferte, cuenta con unidad sanitaria    y perchero (si el procedimiento lo indica).",,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.11,4,4.4,• Lavamanos.,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.11,4,4.5,"• Área de preparación, embalaje y remisión de las muestras que cuenta con: ",,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4.5.1,"• Mesón de trabajo, con poceta cuando ésta se requiera",,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.11,5,,Disponibilidad de:,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.11,5,5.1,• Sala de espera.,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.11,5,5.2,• Unidades sanitarias discriminadas por sexo,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,"Modalidades extramural unidad móvil, jornada de salud y domiciliaria",11.3.11,6,,cumply con los criterios que le sean aplicables de todos los servicios,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,No aplica,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.3.11,7,,"cumply con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con: Equipos biomédicos necesarios, según las muestras que se tomen, de acuerdo con lo  documentado en el estándar de procesos prioritarios.",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
