standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGOS,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,No aplica,"Modalidades intramural, extramural unidad móvil, jornada de salud y telemedicina - prestador remisor",11.3.12,1,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente, cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,"Modalidades intramural, extramural unidad móvil, jornada de salud y telemedicina - prestador remisor",11.3.12,1,1.1,• Profesional de bacteriología.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,"Modalidades intramural, extramural unidad móvil, jornada de salud y telemedicina - prestador remisor",11.3.12,1,1.2,"• Talento humano profesional que cuenta con constancia de asistencia en las acciones de formación continua en las actividades relacionadas con el laboratorio clínico, cuando se requiera.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,"Modalidades intramural, extramural unidad móvil, jornada de salud y telemedicina - prestador remisor",11.3.12,1,1.3,"• Auxiliar de laboratorio clínico o de enfermería, cuando se requiera.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,"Modalidades intramural, extramural unidad móvil, jornada de salud y telemedicina - prestador remisor",11.3.12,1,1.4,"• Cuenta con gestor comunitario en salud que cuenta con constancia de asistencia en las acciones de formación continua para la detección temprana, el diagnóstico de enfermedades de interés en salud pública, entre otras, cuando se requiera.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,"Modalidades intramural, extramural unidad móvil, jornada de salud y telemedicina - prestador remisor",11.3.12,2,,Disponibilidad de bacteriólogo en zonas especiales de dispersión geográfica con permanencia de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,"Modalidades intramural, extramural unidad móvil, jornada de salud y telemedicina - prestador remisor",11.3.12,3,,"Cuando se realicen pruebas de inmunología para trasplantes, el profesional de bacteriología cuenta con constancia de asistencia en las acciones de formación continua en la realización de dichas pruebas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,"Modalidades intramural, extramural unidad móvil, jornada de salud y telemedicina - prestador remisor",11.3.12,4,,"Cuando se realicen controles de calidad a las “pruebas en el punto de atención del paciente - (point of care testing - POCT)” a otros servicios de salud que hacen uso de estas pruebas, el profesional de bacteriología cuenta con constancia de asistencia en las acciones de formación continua en el manejo de las mismas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,Modalidad telemedicina - prestador de referencia,11.3.12,5,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,Modalidad telemedicina - prestador de referencia,11.3.12,6,,"El Profesional de bacteriología, puede hacer uso de la categoría telexperticia sincrónica o asincrónica entre profesionales de la salud de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,"Modalidades intramural, telemedicina - prestador remisor",11.3.12,7,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,"Modalidades intramural, telemedicina - prestador remisor",11.3.12,8,,Cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,"Modalidades intramural, telemedicina - prestador remisor",11.3.12,8,8.1,"• Área para recepción de muestras, información y entrega de resultados.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
