standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGOS,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,No aplica,"Modalidades intramural, extramural unidad móvil y jornada de salud",11.3.13,1,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,"Modalidades intramural, extramural unidad móvil y jornada de salud",11.3.13,1,1.1,• Profesional de la medicina o profesional de la enfermería o profesional de bacteriología o citohistotecnólogo (a) o histocitotecnólogo (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,"Modalidades intramural, extramural unidad móvil y jornada de salud",11.3.13,1,1.2,• El personal que realice toma de citologías cuenta con constancia de asistencia en las acciones de formación continua en esta actividad.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,"Modalidades intramural, extramural unidad móvil y jornada de salud",11.3.13,1,1.3,• La técnica VIA VILI solo podrá ser realizada por profesional de la medicina o profesional en enfermería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,En zonas especiales de dispersión geográfica,11.3.13,2,,Cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,En zonas especiales de dispersión geográfica,11.3.13,2,2.1,• Auxiliar de enfermería o profesional de la medicina o profesional de la enfermería o profesional de bacteriología o citohistotecnólogo (a) o histocitotecnólogo (a).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,En zonas especiales de dispersión geográfica,11.3.13,2,2.2,• El personal que realice toma de citologías cuenta con constancia de asistencia en las acciones de formación continua para esta actividad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.13,3,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.13,3,3.1,"• Ambiente para la toma de muestras especiales, con unidad sanitaria y perchero. Disponibilidad de:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.13,3,3.2,• Área de información y entrega de resultados.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.13,3,3.3,"• Área o ambiente de preparación, embalaje y remisión de las muestras con mesón de trabajo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.13,3,3.4,"• Área o ambiente para el almacenamiento de materiales, insumos y reactivos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.13,4,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.13,4,4.1,• Sala de espera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.13,4,4.2,• Unidades sanitarias discriminadas por sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad extramural unidad móvil y jornada de salud,11.3.13,5,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,No aplica,"Modalidades intramural, extramural unidad móvil y jornada de salud",11.3.13,6,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,No aplica,"Modalidades intramural, extramural unidad móvil y jornada de salud",11.3.13,6,6.1,• Camilla con estribos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,No aplica,"Modalidades intramural, extramural unidad móvil y jornada de salud",11.3.13,6,6.2,• Lámpara de cuello de cisne o su equivalente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,No aplica,"Modalidades intramural, extramural unidad móvil y jornada de salud",11.3.13,6,6.3,• Escalerilla.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
