standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGOS,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,No aplica,"Modalidad intramural, telemedicina - prestador remisor",11.3.14,1,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente, cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,"Modalidad intramural, telemedicina - prestador remisor",11.3.14,1,1.1,• Citotecnólogo o citohistotecnólogo o citólogo o histocitotecnólogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,"Modalidad intramural, telemedicina - prestador remisor",11.3.14,2,,Disponibilidad de profesional de la medicina especialista en patología,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,Modalidad telemedicina - prestador de referencia,11.3.14,3,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,Modalidad telemedicina - prestador de referencia,11.3.14,4,,"El Profesional de la medicina especialista en patología, puede realizar la disponibilidad en la categoría telexperticia sincrónica o asincrónica, entre profesionales de la salud de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,"Modalidades intramural, telemedicina -prestador remisor",11.3.14,5,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,"Modalidades intramural, telemedicina -prestador remisor",11.3.14,6,,Cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,"Modalidades intramural, telemedicina -prestador remisor",11.3.14,6,6.1,"• Área para recepción de muestras, información y entrega de resultados, con superficie de trabajo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,"Modalidades intramural, telemedicina -prestador remisor",11.3.14,6,6.2,• Ambiente técnico de procedimientos que cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,"Modalidades intramural, telemedicina -prestador remisor",11.3.14,6,6.2.1,• Mesón de trabajo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
