standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGOS,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,Mediana,"Modalidad intramural, telemedicina - prestador remisor.",11.3.16,1,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con: Profesional de la medicina especialista en patología,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana,"Modalidad intramural, telemedicina - prestador remisor.",11.3.16,2,,Disponibilidad de: Histotecnólogo o citohistotecnólogo o Histocitotecnólogo o Citotecnólogo o Citólogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana,Modalidad telemedicina - prestador de referencia,11.3.16,3,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana,Modalidad telemedicina - prestador de referencia,11.3.16,4,,El Profesional de la medicina especialista en patología puede hacer uso de la categoría telexperticia sincrónica o asincrónica entre profesionales de la salud de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,Modalidades intramural y telemedicina - prestador remisor,11.3.16,5,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,Modalidades intramural y telemedicina - prestador remisor,11.3.16,5,5.1,"• Área para recepción de muestras, información y entrega de resultados.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,Modalidades intramural y telemedicina - prestador remisor,11.3.16,5,5.2,• Ambiente técnico de procedimientos que cuenta con: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,Modalidades intramural y telemedicina - prestador remisor,11.3.16,5,5.2.1,"• Área de histotecnología, cuando se realice.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,Modalidades intramural y telemedicina - prestador remisor,11.3.16,5,5.2.2,• Área de microscopia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,Modalidades intramural y telemedicina - prestador remisor,11.3.16,5,5.2.3,"• Ambiente donde se realicen las coloraciones que cuenta con extractor de sustancias químicas, cuando lo requiera.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
