standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGO,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,BAJA,Modalidades intramural y extramural domiciliaria,11.4.1,1,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente, disponibilidad de:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidades intramural y extramural domiciliaria,11.4.1,1,1.1,• Profesional de la medicina.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidades intramural y extramural domiciliaria,11.4.1,1,1.2,• Profesional de la enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidades intramural y extramural domiciliaria,11.4.1,1,1.3,• Auxiliar de enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidad telemedicina: Categoría telexperticia – prestador remisor,11.4.1,2,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidad telemedicina: Categoría telexperticia – prestador remisor,11.4.1,2,2.1,• Cuando se realice telexperticia entre profesionales de la salud cumple con los criterios establecidos en la modalidad intramural del servicio de hospitalización de baja complejidad.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidad telemedicina: Categoría telexperticia – prestador remisor,11.4.1,2,2.2,"• Cuando realice telexperticia entre personal de salud no profesional y un profesional de la salud, en la modalidad domiciliaria, el prestador remisor cuenta con auxiliar de enfermería que atiende presencialmente al usuario.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidad telemedicina: Categoría telexperticia - prestador de referencia,11.4.1,3,,"Cumple con los criterios que le sean aplicables de todos los servicios, y adicionalmente cuenta con profesional de la salud, de acuerdo con lo definido por el prestador de servicios de salud en el  estándar de procesos prioritarios",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidad telemedicina: Categoría telemonitoreo – prestador remisor en modalidad extramural domiciliaria,11.4.1,4,,Cumple con los criterios que le sean aplicables de todos los servicios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidad telemedicina: Categoría telemonitoreo – prestador remisor en modalidad extramural domiciliaria,11.4.1,5,,La permanencia del talento humano en salud en el domicilio del paciente será determinada según  la condición clínica del paciente y la información documentada en el estándar de procesos prioritarios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidad telemedicina: Categoría telemonitoreo - prestador de referencia,11.4.1,6,,"El personal de la salud puede hacer uso de la categoría telemonitoreo sincrónica o asincrónica, de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.1,7,,Cumple los criterios definidos para todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.1,7,7.1,• Profesional de la medicina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.1,7,7.2,• Profesional de la enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.1,7,7.3,• Auxiliar de enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.1,8,,El profesional de salud puede hacer uso de la categoría telexperticia sincrónica o asincrónica entre profesionales de la salud de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios. El uso de la telemedicina no reemplaza el contar con el profesional de la salud.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.1,9,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.1,,9.1,• Profesional de la medicina especialista por cada especialidad ofertada.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.1,,9.2,• Profesional de fisioterapia o terapia respiratoria.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.1,,9.3,• Profesional de nutrición y dietética.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
