standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGOS,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,BAJA,Modalidades intramural y extramural domiciliaria,11.4.2,1,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidades intramural y extramural domiciliaria,11.4.2,1,1.1,• Profesional de la enfermería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidades intramural y extramural domiciliaria,11.4.2,1,1.2,• Auxiliar de enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidades intramural y extramural domiciliaria,11.4.2,2,,La permanencia del profesional de la enfermería y la auxiliar de enfermería en el domicilio del paciente será determinada según la condición clínica del paciente y la información documentada en el estándar de procesos prioritarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidades intramural y extramural domiciliaria,11.4.2,3,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidades intramural y extramural domiciliaria,11.4.2,,3.1,• Profesional de la medicina con permanencia durante los procedimientos definidos por el prestador de servicios de salud en el estándar de procesos prioritarios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidades intramural y extramural domiciliaria,11.4.2,,3.2,• Profesional de nutrición y dietética.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidades intramural y extramural domiciliaria,11.4.2,,3.3,• Profesional de la psicología.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidades intramural y extramural domiciliaria,11.4.2,,3.4,• Profesionales de terapia de acuerdo con el plan de tratamiento.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidad telemedicina: Categoría telexperticia – prestador remisor,11.4.2,4,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidad telemedicina: Categoría telexperticia – prestador remisor,11.4.2,4,4.1,• Cuando se realice telexperticia entre profesionales de la salud cumple con los criterios establecidos en la modalidad intramural del servicio de hospitalización del paciente crónico sin ventilador baja complejidad.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidad telemedicina: Categoría telexperticia – prestador remisor,11.4.2,4,4.2,"• Cuando realice telexperticia entre personal de salud no profesional y un profesional de la salud, en la modalidad domiciliaria, el prestador remisor cuenta con auxiliar de enfermería que atiende presencialmente al usuario.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Categoría telexperticia - prestador de referencia,11.4.2,5,,"Cumple con los criterios que le sean aplicables de todos los servicios, y adicionalmente cuenta con profesional de la salud, de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Categoría telexperticia - prestador de referencia,11.4.2,6,,"Profesional de la medicina cuando esté en disponibilidad y no se requiera su permanencia, puede hacer uso de la categoría telexperticia sincrónica o asincrónica, entre profesionales de la salud de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
