standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGOS,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,BAJA,Modalidad intramural y telemedicina - prestador remisor,11.4.3,1,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente, cuenta con auxiliar de enfermería.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidad intramural y telemedicina - prestador remisor,11.4.3,2,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidad intramural y telemedicina - prestador remisor,11.4.3,2,2.1,• Profesional de la medicina con constancia de acciones de formación continua en atención del paciente neonatal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidad intramural y telemedicina - prestador remisor,11.4.3,2,2.2,• Profesional de la enfermería con constancia de acciones de formación continua en atención del paciente neonatal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidad telemedicina - prestador de referencia,11.4.3,3,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidad telemedicina - prestador de referencia,11.4.3,4,,"El profesional de la salud puede hacer uso de la telexperticia sincrónica o asincrónica entre profesionales de la salud, de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.4.3,5,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.4.3,5,5.1,"• Ambiente a manera de filtro, para acceso del talento humano en salud y visitantes, con lavamanos y área de casilleros.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.4.3,5,5.2,• Estación de enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.4.3,5,5.3,• Ambiente o área para brindar información a familiares.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.4.3,5,5.4,"• Área de incubadoras o cunas (4 m2), señalizado y de circulación restringida solo para personal autorizado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.4.3,6,,Disponibilidad en el servicio de lavamanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.4.3,7,,"Los anteriores ambientes o áreas pueden ser compartidos entre los servicios de cuidado básico, intermedio e intensivo neonatal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.4.3,8,,Las puertas de acceso al servicio deben permitir el paso y giro de incubadoras y cunas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.4.3,9,,Disponibilidad de ambiente para extracción de leche materna y preparación de fórmulas artificiales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,Modalidad telemedicina – prestador referencia,11.4.3,10,,Cumple con los criterios que le sean aplicables de todos los servicios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.4.3,11,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente por cada paciente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.4.3,11,11.1,• Incubadora abierta o cuna para recién nacido.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.4.3,11,11.2,• Silla para el acompañante.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.4.3,12,,Disponibilidad en el servicio de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.4.3,12,12.1,• Fonendoscopio neonatal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.4.3,12,12.2,• Tensiómetro neonatal (cuando no esté incluido en el monitor de signos vitales).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.4.3,12,12.3,"• Monitor de signos vitales que incluya frecuencia cardiaca, respiratoria, tensión arterial no invasiva y saturación de oxígeno, con accesorios neonatales.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.4.3,12,12.4,• Oxímetro con sensor neonatal (cuando no esté incluido en el monitor de signos vitales).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.4.3,12,12.5,• Bomba de infusión.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.4.3,12,12.6,• Resucitador pulmonar manual neonatal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.4.3,12,12.7,• Carro de paro.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.4.3,12,12.8,• Glucómetro.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.4.3,12,12.9,• Monitor neonatal de transporte.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.4.3,12,12.10,• Incubadora neonatal de transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.4.3,12,12.11,•  Ventilador neonatal de transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.4.3,12,12.12,•  Lámpara de fototerapia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
