standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGOS,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.4,1,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.4,1,1.1,• Profesional de la medicina especialista en pediatría.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.4,1,1.2,• Profesional de la enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.4,1,1.3,• Auxiliar de enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.4,2,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.4,2,2.1,• Profesional de la medicina especialista en neonatología.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.4,2,2.2,• Profesional de terapia respiratoria o fisioterapia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.4,2,2.3,• Profesional de nutrición y dietética.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.4,3,,"Todo el personal mencionado cuenta con constancia de asistencia en las acciones de formación continua para la atención del neonato, a excepción de los profesionales especialistas en neonatología",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidad telemedicina - prestador de referencia,11.4.4,4,,Cumple con los criterios que le sean aplicables de todos los servicios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidad telemedicina - prestador de referencia,11.4.4,5,,El profesional de salud puede hacer uso de la categoría telexperticia sincrónica entre profesionales de la salud de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidad telemedicina - prestador de referencia,11.4.4,6,,"Profesional de la medicina especialista en neonatología, puede realizar la disponibilidad en la categoría telexperticia sincrónica entre profesionales de la salud de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.4,7,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.4,7,7.1,"• Ambiente a manera de filtro, para acceso del talento humano en salud y visitantes, con lavamanos y área de casilleros.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.4,7,7.2,• Estación de enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.4,7,7.3,• Ambiente o área para brindar información a familiares.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.4,7,7.4,"• Área de incubadoras o cunas (4 m2), señalizado y de circulación restringida solo para personal autorizado, que cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.4,7,7.4.1,• Sistema de vacío por incubadora o cuna. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.4,7,7.4.2,• Oxigeno medicinal por incubadora o cuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.4,7,7.5,• Disponibilidad en el servicio de lavamanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.4,8,,"Los anteriores ambientes o áreas pueden ser compartidos entre los servicios de cuidado básico, intermedio e intensivo neonatal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,Modalidades intramural y telemedicina - prestador remisor,11.4.4,9,,Las puertas de acceso al servicio deben permitir el paso y giro de incubadoras y cunas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
