standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGOS,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,ALTA,"Modalidad intramural, telemedicina - prestador remisor",11.4.5,1,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidad intramural, telemedicina - prestador remisor",11.4.5,1,1.1,• Profesional de la medicina especialista en pediatría.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidad intramural, telemedicina - prestador remisor",11.4.5,1,1.2,• Profesional de la enfermería especialista en cuidado intensivo neonatal o con constancia de asistencia en las acciones de formación continua para la atención al paciente de cuidado intensivo neonatal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidad intramural, telemedicina - prestador remisor",11.4.5,1,1.3,• Profesional de terapia respiratoria o fisioterapia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidad intramural, telemedicina - prestador remisor",11.4.5,1,1.4,• Auxiliar de enfermería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidad intramural, telemedicina - prestador remisor",11.4.5,2,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidad intramural, telemedicina - prestador remisor",11.4.5,2,2.1,"• Profesional de la medicina especialista en neonatología, con permanencia mínima de 6 horas por cada 24 horas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidad intramural, telemedicina - prestador remisor",11.4.5,2,2.2,• Profesional de la medicina especialista en oftalmología.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidad intramural, telemedicina - prestador remisor",11.4.5,2,2.3,• Profesional de la medicina especialista en cardiología.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidad intramural, telemedicina - prestador remisor",11.4.5,2,2.4,• Profesional de la medicina especialista en cirugía pediátrica.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidad intramural, telemedicina - prestador remisor",11.4.5,2,2.5,• Profesional de nutrición y dietética.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidad intramural, telemedicina - prestador remisor",11.4.5,3,,"Todo el talento humano en salud cuenta con constancia de asistencia en las acciones de formación continua para la atención del paciente de cuidado intensivo neonatal, a excepción de los profesionales especialistas en neonatología",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,Modalidad telemedicina - prestador de referencia,11.4.5,4,,Cumple con los criterios que le sean aplicables de todos los servicios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,Modalidad telemedicina - prestador de referencia,11.4.5,5,,El profesional de salud puede hacer uso de la categoría telexperticia sincrónica entre profesionales de la salud de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,Modalidad telemedicina - prestador de referencia,11.4.5,6,,"Profesional de la medicina especialista en neonatología, cuando esté en disponibilidad y no se requiera su permanencia, puede hacer uso de la categoría telexperticia sincrónica, entre profesionales de la salud de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,Modalidad telemedicina - prestador de referencia,11.4.5,7,,"El profesional de la medicina especialista en oftalmología, cardiología y cirugía pediátrica pueden realizar la disponibilidad en la categoría telexperticia sincrónica entre profesionales de la salud de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.5,8,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.5,8,8.1,"• Ambiente a manera de filtro, para acceso del talento humano en salud y visitantes, con lavamanos y área de casilleros.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.5,8,8.2,• Estación de enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
