standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,OBSERVACIONES DEL CUMPLIMIENTO,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,MEDIANA,"Modalidad intramural, telemedicina - prestador remisor",11.4.6,1,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidad intramural, telemedicina - prestador remisor",11.4.6,1,1.1,• Profesional de la medicina con especialidad en pediatría.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidad intramural, telemedicina - prestador remisor",11.4.6,1,1.2,• Profesional de la enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidad intramural, telemedicina - prestador remisor",11.4.6,1,1.3,• Auxiliar de enfermería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidad intramural, telemedicina - prestador remisor",11.4.6,2,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidad intramural, telemedicina - prestador remisor",11.4.6,2,2.1,• Profesional de la medicina especialista en cuidado intensivo pediátrico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidad intramural, telemedicina - prestador remisor",11.4.6,2,2.2,• Profesional de terapia respiratoria o de fisioterapia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidad intramural, telemedicina - prestador remisor",11.4.6,2,2.3,• Profesional de nutrición y dietética.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidad intramural, telemedicina - prestador remisor",11.4.6,3,,Todo el talento humano en salud cuenta con constancia de asistencia en las acciones de formación continua en atención del paciente de cuidado intermedio pediátrico con excepción del profesional especialista en cuidado intensivo pediátrico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidad telemedicina - prestador de referencia,11.4.6,4,,Cumple con los criterios que le sean aplicables de todos los servicios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidad telemedicina - prestador de referencia,11.4.6,5,,El profesional de salud puede hacer uso de la categoría telexperticia sincrónica entre profesionales de la salud de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidad telemedicina - prestador de referencia,11.4.6,6,,"Profesional de la medicina especialista en cuidado intensivo pediátrico, puede realizar la disponibilidad en la categoría telexperticia sincrónica entre profesionales de la salud de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,7,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,7,7.1,"• Ambiente a manera de filtro, para acceso del talento humano en salud y visitantes, con lavamanos y área de casilleros.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,7,7.2,• Estación de enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,7,7.3,• Ambiente o área para brindar información a familiares.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,7,7.4,"• Ambiente de cubículos por cunas (4 m2), o camas (8 m2), señalizado y de circulación restringida solo para personal autorizado, con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,7,7.4.1,• Salida de oxígeno medicinal por cuna o cama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,7,7.4.2,• Salida de aire medicinal por cuna o cama.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,7,7.4.3,• Sistema de vacío por cuna o cama.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.4.6,7,7.5,"• Lavamanos, que puede ser compartido entre varios cubículos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
