standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGOS,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,Baja,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.2.1,1,1,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Baja,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.2.1,2,2,Cuenta con el profesional de la salud de acuerdo con el servicio a ofertar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Baja,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.2.1,3,3,"Cuando se oferte la estrategia para el manejo de la Enfermedad Respiratoria Aguda (ERA), el servicio tiene disponibilidad de:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Baja,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.2.1,3,3.1,• Profesional de la medicina.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Baja,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.2.1,3,3.2,• Profesional de la enfermería o terapia respiratoria o fisioterapia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Baja,Modalidad telemedicina: Categoría interactiva y no interactiva – prestador de referencia,11.2.1,4,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente, cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Baja,Modalidad telemedicina: Categoría interactiva y no interactiva – prestador de referencia,11.2.1,4,4.1,• Profesional de la salud de acuerdo con el servicio a ofertar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Baja,Modalidad telemedicina: Categoría telexperticia - prestador remisor,11.2.1,5,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Baja,Modalidad telemedicina: Categoría telexperticia - prestador remisor,11.2.1,5,5.1,• Cuando se realice telexperticia entre profesionales de la salud cuenta con el profesional de la salud de acuerdo con el servicio a ofertar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Baja,Modalidad telemedicina: Categoría telexperticia - prestador remisor,11.2.1,5,5.2,"• Cuando realice telexperticia entre personal de salud no profesional y un profesional de la salud, el prestador remisor cuenta con técnico, tecnólogo o auxiliar que atiende presencialmente al usuario.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Baja,Modalidad telemedicina: Categoría telexperticia - prestador de referencia,11.2.1,6,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con profesional de la salud que atiende a distancia, de acuerdo con el servicio a ofertar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Baja,Modalidad telemedicina: Categoría telemonitoreo - prestador de referencia,11.2.1,7,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con   el personal de salud profesional que se requiera para realizar el telemonitoreo de acuerdo con lo documentado por el prestador de servicios de salud en el estándar de procesos prioritarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Baja,Modalidad intramural,11.2.1,8,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Baja,Modalidad intramural,11.2.1,9,,Cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Baja,Modalidad intramural,11.2.1,9,9.1,"• El tipo de ambiente o consultorio de acuerdo con la oferta, así:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Baja,Modalidad intramural,11.2.1,9,9.1.1,• Consultorio donde se realiza examen físico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Baja,Modalidad intramural,11.2.1,9,9.1.2,• Ambiente de entrevista donde no se realiza examen físico ni procedimientos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Baja,Modalidad intramural,11.2.1,9,9.1.3,• Consultorio donde se realizan procedimientos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Baja,Modalidad intramural,11.2.1,9,9.1.4,• Consultorio odontológico con una unidad odontológica o más.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Baja,Modalidad intramural,11.2.1,9,9.2,"• Sala de procedimientos, cuando se requiera.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Baja,Modalidad intramural,11.2.1,10,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Baja,Modalidad intramural,11.2.1,10,10.1,• Sala de espera.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Baja,Modalidad intramural,11.2.1,10,10.2,"Mínimo una (1) unidad sanitaria de uso mixto, apta para personas con movilidad reducida, cuando el prestador cuente con hasta dos consultorios o ambientes de entrevista.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Baja,Modalidad intramural,11.2.1,10,10.3,"• Mínimo una (1) unidad sanitaria discriminada por sexo apta para personas con movilidad reducida, o batería sanitaria discriminada por sexo con mínimo una (1) unidad sanitaria apta para personas con movilidad reducida, cuando el prestador cuente con más de dos consultorios o ambientes de entrevista.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
