standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGOS,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.7,1,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.7,1,1.1,• Profesional de la medicina especialista en pediatría.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.7,1,1.2,• Profesional de la enfermería especialista en cuidado critico o cuidado critico pediátrico o profesional de la enfermería con constancia de asistencia en las acciones de formación continua del control del paciente de cuidado intensivo pediátrico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.7,1,1.3,• Profesional de terapia respiratoria o fisioterapia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.7,1,1.4,• Auxiliar de enfermería con constancia de asistencia en acciones de formación continua en asistencia en soporte vital básico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.7,2,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.7,2,2.1,"• Profesional de la medicina especialista en cuidado intensivo pediátrico, con permanencia mínima de 6 horas por cada 24 horas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.7,2,2.2,"• Si oferta atención a pacientes quemados en condición crítica, disponibilidad de especialista en cirugía plástica.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.7,2,2.3,• Profesional de la medicina especialista en cirugía pediátrica.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.7,2,2.4,• Profesional de la medicina especialista en cardiología pediátrica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.7,2,2.5,• Profesional de Psicología.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.7,2,2.6,• Profesional de Fonoaudiología.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.7,2,2.7,• Profesional de Terapia ocupacional si atiende pacientes quemados en condición crítica.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.7,2,2.8,• Profesional de nutrición y dietética,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.7,3,,"El profesional de la medicina especialista en cuidado intensivo pediátrico cuenta con constancia   de asistencia, en acciones de formación continua de la gestión operativa de la donación de conformidad con las normas que regulen la materia, o aquellas que las adicionen, modifiquen o sustituyan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
