standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,OBSERVACIONES DEL CUMPLIMIENTO,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.4,1,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente, cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.4,1,1.1,• Auxiliar en enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.4,2,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.4,2,2.1,• Profesional de la medicina general.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidades intramural y telemedicina - prestador remisor,11.6.4,2,2.2,• Profesional de la enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA Y ALTA,Modalidades intramural y telemedicina - prestador remisor,11.6.4,3,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente, cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA Y ALTA,Modalidades intramural y telemedicina - prestador remisor,11.6.4,3,3.1,• Profesional de la medicina especialista en ginecobstetricia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA Y ALTA,Modalidades intramural y telemedicina - prestador remisor,11.6.4,3,3.2,• Profesional de la enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA Y ALTA,Modalidades intramural y telemedicina - prestador remisor,11.6.4,3,3.3,• Auxiliar de enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA Y ALTA,Modalidades intramural y telemedicina - prestador remisor,11.6.4,4,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA Y ALTA,Modalidades intramural y telemedicina - prestador remisor,11.6.4,4,4.1,• Profesional de la medicina especialista en pediatría.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA Y ALTA,Modalidades intramural y telemedicina - prestador remisor,11.6.4,4,4.2,• Profesional de la medicina especialista en anestesiología.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA Y ALTA,Modalidades intramural y telemedicina - prestador remisor,11.6.4,4,4.3,• Profesional de psicología.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA Y ALTA,Modalidades intramural y telemedicina - prestador remisor,11.6.4,5,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA Y ALTA,Modalidades intramural y telemedicina - prestador remisor,11.6.4,5,5.1,• Profesional de nutrición y dietética.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA Y ALTA,Modalidades intramural y telemedicina - prestador remisor,11.6.4,5,5.2,• Profesional de fisioterapia o terapia respiratoria.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA Y ALTA,Modalidades intramural y telemedicina - prestador remisor,11.6.4,5,5.3,• Profesional de trabajo social,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA - MEDIANA - ALTA,Modalidad telemedicina - prestador referencia,11.6.4,6,,Cumple con los criterios que le sean aplicables de todos los servicios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA - MEDIANA - ALTA,Modalidad telemedicina - prestador referencia,11.6.4,7,,El profesional de salud puede hacer uso de la categoría telexperticia sincrónica o asincrónica entre profesionales de la salud de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA - MEDIANA - ALTA,Modalidad telemedicina - prestador referencia,11.6.4,8,,El personal de salud no profesional puede hacer uso de la categoría telexperticia sincrónica o asincrónica con profesionales de la salud de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.4,9,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.4,9,9.1,• Sala de visitas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.4,9,9.2,• Área para la recepción y entrega de pacientes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.4,9,9.3,• Vestidor para pacientes que funciona como filtro.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.4,9,9.4,• Vestidor para el talento humano que funciona como filtro y área para casilleros.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
