standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGOS,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.9,1,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.9,1,1.1,"• Profesional de la medicina especialista en medicina crítica y cuidado intensivo o profesional de la medicina especialista en anestesiología o neurología o neurocirugía o medicina Interna o ginecología o cirugía general o medicina de urgencias, según la oferta de servicios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.9,1,1.2,• Profesional de la enfermería especialista en cuidado critico o profesional en enfermería con acciones de formación continua en el control del paciente de cuidado intensivo adultos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.9,1,1.3,• Profesional de terapia respiratoria o fisioterapia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.9,1,1.4,• Auxiliar de enfermería con constancia de asistencia en acciones de formación continua en asistencia en soporte vital básico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.9,2,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.9,2,2.1,"• Profesional de la medicina especialista en medicina crítica y cuidado Intensivo, con permanencia mínima de 6 horas por cada 24 horas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.9,2,2.2,"• Cuando se oferte atención a pacientes críticamente quemados, profesional de la medicina especialista en cirugía plástica.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.9,2,2.3,"• Cuando se oferte atención a pacientes críticamente quemados, profesional de terapia ocupacional.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.9,2,2.4,• Profesional de nutrición y dietética.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.9,2,2.5,• Profesional de psicología.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.9,3,,"El profesional de la medicina especialista en medicina crítica y cuidado intensivo cuenta con constancia de asistencia, en acciones de formación continua para la gestión operativa de la  donación de conformidad con las normas que regulen la materia, o aquellas que las adicionen, modifiquen o sustituyan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.4.9,4,,"Todo el talento humano en salud cuenta con constancia de asistencia en acciones de formación continua en atención del paciente de cuidado intensivo adultos, con excepción de los profesionales especialistas en cuidado intensivo y cuando se oferte atención a pacientes críticamente quemados, con excepción del profesional de la medicina especialista en cirugía plástica.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,Modalidad telemedicina - prestador de referencia,11.4.9,5,,Cumple con los criterios que le sean aplicables de todos los servicios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,Modalidad telemedicina - prestador de referencia,11.4.9,6,,"Profesional de la medicina especialista en medicina crítica y cuidado Intensivo, cuando esté en disponibilidad y no se requiera su permanencia, puede hacer uso de la categoría telexperticia sincrónica, entre profesionales de la salud de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,Modalidad telemedicina - prestador de referencia,11.4.9,7,,"El profesional de la medicina especialista en cirugía plástica, pueden realizar la disponibilidad en la categoría telexperticia sincrónica entre profesionales de la salud de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,Modalidad telemedicina - prestador de referencia,11.4.9,8,,"El profesional de la salud puede hacer uso de la telexperticia sincrónica entre profesionales de la salud, de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,ALTA,Modalidades intramural y telemedicina - prestador remisor,11.4.9,9,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,ALTA,Modalidades intramural y telemedicina - prestador remisor,11.4.9,10,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,ALTA,Modalidades intramural y telemedicina - prestador remisor,11.4.9,10,10.1,"• Ambiente a manera de filtro, para acceso del talento humano en salud y visitantes, con  lavamanos y área de casilleros.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
