standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,OBSERVACIONES DEL CUMPLIMIENTO,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,Mediana y alta,"Modalidades intramural, extramural jornada de salud, unidad móvil y telemedicina - prestador remisor",11.5.1,1,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana y alta,"Modalidades intramural, extramural jornada de salud, unidad móvil y telemedicina - prestador remisor",11.5.1,1,1.1,• Auxiliar en enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana y alta,"Modalidades intramural, extramural jornada de salud, unidad móvil y telemedicina - prestador remisor",11.5.1,1,1.2,• Profesional de instrumentación quirúrgica para cada uno de los procedimientos que lo requieran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana y alta,"Modalidades intramural, extramural jornada de salud, unidad móvil y telemedicina - prestador remisor",11.5.1,2,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana y alta,"Modalidades intramural, extramural jornada de salud, unidad móvil y telemedicina - prestador remisor",11.5.1,2,2.1,"• Profesional de la medicina o de la odontología especialista según la oferta del prestador de servicios de salud con permanencia durante los procedimientos quirúrgicos y de conformidad
con lo documentado en el estándar de procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana y alta,"Modalidades intramural, extramural jornada de salud, unidad móvil y telemedicina - prestador remisor",11.5.1,2,2.2,"• Profesional de la medicina especialista en anestesiología, con permanencia durante los procedimientos documentados por el prestador de servicios de salud en el estándar de procesos prioritarios, quien realizará solo un procedimiento a la vez y estará presente durante todo el acto quirúrgico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana y alta,"Modalidades intramural, extramural jornada de salud, unidad móvil y telemedicina - prestador remisor",11.5.1,2,2.3,"• Si oferta cirugía oncológica, profesional de la medicina especialista en cirugía oncológica o especialista que demuestre haber adquirido en su formación académica conocimientos en el manejo quirúrgico de las patologías oncológicas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana y alta,"Modalidades intramural, extramural jornada de salud, unidad móvil y telemedicina - prestador remisor",11.5.1,2,2.4,"• En zonas especiales de dispersión geográfica, los profesionales de la medicina pueden practicar procedimientos quirúrgicos en casos de urgencia y en casos no remisibles, debido a la condición clínica del paciente o por limitaciones de acceso geográfico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana y alta,"Modalidades intramural, extramural jornada de salud, unidad móvil y telemedicina - prestador remisor",11.5.1,3,,"Si ofrece trasplante de tejidos adicional a lo anterior, disponibilidad con permanencia de profesionales de la medicina especialistas quirúrgicos durante los procedimientos quirúrgicos y de conformidad con lo definido en el estándar de procesos prioritarios, así:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana y alta,"Modalidades intramural, extramural jornada de salud, unidad móvil y telemedicina - prestador remisor",11.5.1,3,3.1,• Para el trasplante de tejido ocular: profesional de la medicina especialista en oftalmología.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana y alta,"Modalidades intramural, extramural jornada de salud, unidad móvil y telemedicina - prestador remisor",11.5.1,3,3.2,• Para el trasplante osteomuscular: Profesional de la medicina especialista en cirugía que demuestre haber adquirido en su formación académica conocimientos en el manejo quirúrgico del trasplante osteomuscular. según la oferta del servicio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana y alta,"Modalidades intramural, extramural jornada de salud, unidad móvil y telemedicina - prestador remisor",11.5.1,3,3.3,• Para el trasplante cardiovascular: profesional de la medicina especialista en cirugía cardiovascular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana y alta,"Modalidades intramural, extramural jornada de salud, unidad móvil y telemedicina - prestador remisor",11.5.1,3,3.4,• Para trasplante de piel y componentes de la piel: profesional de la medicina especialista en cirugía que demuestre haber adquirido en su formación académica conocimientos en el manejo quirúrgico del trasplante de piel y componentes de la piel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana y alta,"Modalidades intramural, extramural jornada de salud, unidad móvil y telemedicina - prestador remisor",11.5.1,4,,"Si ofrece trasplante de órganos cumple con los criterios definidos para el servicio de cirugía en mediana complejidad y adicionalmente, cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana y alta,"Modalidades intramural, extramural jornada de salud, unidad móvil y telemedicina - prestador remisor",11.5.1,4,4.1,• Coordinador operativo de trasplantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana y alta,"Modalidades intramural, extramural jornada de salud, unidad móvil y telemedicina - prestador remisor",11.5.1,4,4.2,"• Profesional de la medicina o profesional de la enfermería para el apoyo de la coordinación, en caso de que la Institución Prestadora de Servicios de Salud realice más de un tipo de trasplante",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana y alta,"Modalidades intramural, extramural jornada de salud, unidad móvil y telemedicina - prestador remisor",11.5.1,4,4.3,• El talento humano que realiza actividades de coordinación operativa de trasplante cuenta con constancia de asistencia en las acciones de formación continua en la gestión operativa de la donación.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
