standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,OBSERVACIONES DEL CUMPLIMIENTO,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,1,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,1,1.1,• Profesional de la medicina que cuenta con constancia de asistencia en las acciones de formación continua en soporte vital avanzado.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,1,1.2,• Auxiliar de enfermería que cuenta con constancia de asistencia en las acciones de formación continua en soporte vital básico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,2,,"En zonas especiales de dispersión geográfica, disponibilidad de:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,2,2.1,• Profesional de la medicina que cuenta con constancia de asistencia en las acciones de formación continua en soporte vital avanzado.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,2,2.2,• Auxiliar de enfermería que cuenta con constancia de asistencia en las acciones de formación continua en soporte vital básico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidad telemedicina - prestador de referencia,11.6.1,3,,Cumple con los criterios que le sean aplicables de todos los servicios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,BAJA,Modalidad telemedicina - prestador de referencia,11.6.1,4,,El profesional de la medicina puede hacer uso de la categoría telexperticia sincrónica o asincrónica entre profesionales de la salud de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,5,,Cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,5,5.1,• Profesional de la medicina o profesional de la medicina especialista en medicina de urgencias o medicina familiar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,5,5.2,• Profesional de la enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,5,5.3,• Auxiliar de enfermería que cuenta con constancia de asistencia en las acciones de formación continua en soporte vital básico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,6,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,6,6.1,• Profesionales de la medicina especialistas necesarios para la atención de las diversas patologías conforme con la información documentada en el estándar de procesos prioritarios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,6,6.2,• Profesional de terapia respiratoria o fisioterapeuta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,7,,"Los profesionales de la salud cuentan con constancia de asistencia en las acciones de formación continua en soporte vital avanzado, con excepción del profesional de la medicina especialista en medicina de urgencias.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidad telemedicina - prestador de referencia,11.6.1,8,,Cumple con los criterios que le sean aplicables de todos los servicios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidad telemedicina - prestador de referencia,11.6.1,9,,El profesional de salud puede hacer uso de la categoría telexperticia sincrónica o asincrónica entre profesionales de la salud de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,MEDIANA,Modalidad telemedicina - prestador de referencia,11.6.1,10,,Los profesionales de la medicina especialistas pueden realizar la disponibilidad en la categoría telexperticia sincrónica entre profesionales de la salud de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,11,,Cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,11,11.1,• Profesional de la medicina o profesional de la medicina especialista en medicina de urgencias o medicina familiar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,11,11.2,• Profesional de la enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,11,11.3,• Auxiliar de enfermería que cuenta con constancia de asistencia en las acciones de formación continua en soporte vital básico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,11,11.4,• Profesionales de la medicina especialistas necesarios para la atención de las diversas patologías conforme a la información documentada en el estándar de procesos prioritarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,12,,Disponibilidad de Profesional de terapia respiratoria o fisioterapeuta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,"Modalidades intramural, telemedicina - prestador remisor",11.6.1,13,,"Los profesionales de la salud cuentan con constancia de asistencia en las acciones de formación continua en soporte vital avanzado, con excepción del profesional de la medicina especialista en medicina de urgencias",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,ALTA,Modalidad telemedicina - prestador de referencia,11.6.1,14,,El profesional de la salud puede hacer uso de la categoría telexperticia sincrónica o asincrónica entre profesionales de la salud de acuerdo con lo definido por el prestador de servicios de salud en el estándar de procesos prioritarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA - MEDIANA - ALTA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,15,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA - MEDIANA - ALTA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,16,,El servicio de urgencias cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA - MEDIANA - ALTA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,16,16.1,"• Acceso directo desde el exterior de la edificación, localizado en el mismo piso o nivel donde funciona el servicio.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,BAJA - MEDIANA - ALTA,Modalidades intramural y telemedicina - prestador remisor,11.6.1,16,16.2,"• Ambientes y áreas definidas para la prestación del servicio, ubicadas en el mismo piso o nivel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
