standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGOS,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,Mediana,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.2.2,1,,Cumple con los criterios definidos para el servicio de consulta externa general y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.2.2,1,1.1,"• Profesional de la salud con título de especialista, según los programas académicos autorizados por el Ministerio de Educación Nacional.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.2.2,1,1.2,"• Para medicina alternativa y terapias alternativas y complementarias, cuenta con profesional de la salud con título de especialista en el ámbito de su disciplina, para lo cual deberá acreditar la respectiva certificación académica de esa norma de competencia, expedida por una institución de educación superior legalmente reconocida por el Estado y de acuerdo con lo documentado por el prestador de servicios de salud en el estándar de procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana,Modalidad telemedicina: Categoría interactiva y no interactiva – prestador de referencia,11.2.2,2,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente, cuenta con: Profesional de la salud con título de especialista de acuerdo con el servicio a ofertar.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana,Modalidad telemedicina: Categoría telexperticia - prestador remisor,11.2.2,3,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana,Modalidad telemedicina: Categoría telexperticia - prestador remisor,11.2.2,3,3.1,• Cuando se realice telexperticia entre profesionales de la salud cuenta con el profesional de la salud con título de especialista de acuerdo con el servicio a ofertar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana,Modalidad telemedicina: Categoría telexperticia - prestador remisor,11.2.2,3,3.2,"• Cuando realice telexperticia entre personal de salud no profesional y un profesional de la salud con título de especialista, el prestador remisor cuenta con técnico, tecnólogo o auxiliar que atiende presencialmente al usuario.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana,Modalidad telemedicina: Categoría telexperticia - prestador de referencia,11.2.2,4,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con profesional de la salud con título de especialista que atiende a distancia, de acuerdo con el servicio  a ofertar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana,Modalidad telemedicina: Categoría telemonitoreo - prestador de referencia,11.2.2,5,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con   el personal de salud profesional con título de especialista que se requiera para realizar el telemonitoreo de acuerdo con lo documentado por el prestador de servicios de salud en el estándar de procesos prioritarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,Modalidad intramural,11.2.2,6,,"Cumple con los criterios definidos para el servicio de consulta externa general, de acuerdo con la oferta.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,Modalidad intramural,11.2.2,7,,"El consultorio de las especialidades de ginecoobstetricia y urología, cuentan con unidad sanitaria.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,"Modalidad extramural: unidad móvil, jornada de salud, y domiciliaria",11.2.2,8,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
