standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGOS,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,Baja,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.2.3,1,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente, cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Baja,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.2.3,1,1.1,• Profesional de la medicina o profesional de la enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Baja,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.2.3,2,,Si se requiere personal adicional para:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Baja,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.2.3,2,2.1,• La administración de la vacuna cuenta con auxiliar de enfermería o auxiliar de salud pública bajo la supervisión del profesional de la medicina o profesional de la enfermería.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Baja,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.2.3,2,2.2,• El manejo de la cadena de frío puede disponer de auxiliar de enfermería o auxiliar en salud pública o gestor comunitario en salud (en zonas de dispersión geográfica) o regentes de farmacia o químico farmacéutico con experiencia en cadena de frío.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Baja,Modalidad intramural,11.2.3,3,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Baja,Modalidad intramural,11.2.3,4,,"Consultorio o ambiente que, de acuerdo con la oferta, cumple con los siguientes requisitos: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Baja,Modalidad intramural,11.2.3,4,,Para los servicios en modalidad intramural de prestadores de servicios de salud que separen el servicio de vacunación en dos ambientes cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Baja,Modalidad intramural,11.2.3,4,4.1,• Consultorio para administración de medicamentos biológicos que cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Baja,Modalidad intramural,11.2.3,4,4.1.1,• Área para entrevista.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
