standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGOS,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,Mediana,"modalityes intramural, extramural unidad móvil y jornada de salud",11.2.4,1,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana,"modalityes intramural, extramural unidad móvil y jornada de salud",11.2.4,1,1.1,• Profesional de la medicina especialista en medicina del trabajo o medicina laboral o seguridad y salud en el trabajo con licencia vigente de seguridad y salud en el trabajo expedida por autoridad competente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana,"modalityes intramural, extramural unidad móvil y jornada de salud",11.2.4,1,1.2,"• Cuando se realicen pruebas complementarias de tamización (audiometría, visiometría, espirometría según aplique), disponibilidad de profesionales de la salud de conformidad con lo documentado en el estándar de procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana,modality telemedicina - prestador remisor,11.2.4,2,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana,modality telemedicina - prestador remisor,11.2.4,,2.1,• Cuando se realice telexperticia entre profesionales de la salud cuenta con el profesional de la salud.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana,modality telemedicina - prestador de referencia,11.2.4,3,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con: Profesional en salud según la oferta definida por el prestador de servicios de salud en el estándar de procesos prioritarios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,"modalityes intramural y extramural unidad móvil, jornada de salud y telemedicina - prestador remisor",11.2.4,4,,Cumple con los criterios definidos del servicio de consulta externa para consultorio donde se realiza examen físico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,modality telemedicina - prestador de referencia,11.2.4,5,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Mediana,"modalityes intramural y extramural unidad móvil, jornada de salud y telemedicina - prestador remisor",11.2.4,6,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Mediana,"modalityes intramural y extramural unidad móvil, jornada de salud y telemedicina - prestador remisor",11.2.4,7,,"El consultorio, cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
