standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGOS,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,No aplica,"Modalidades intramural y extramural unidad móvil, jornada de salud y domiciliaria",11.3.1,1,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,"Modalidades intramural y extramural unidad móvil, jornada de salud y domiciliaria",11.3.1,1,1.1,"• Profesional de la salud con título según los programas académicos autorizados por el Ministerio de Educación Nacional en el ámbito de la rehabilitación, según oferta.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,"Modalidades intramural y extramural unidad móvil, jornada de salud y domiciliaria",11.3.1,1,1.2,"• Si oferta evaluación y tratamiento desde el enfoque de integración neurosensorial, cuenta con constancia de asistencia en las acciones de formación continua para la realización de los procedimientos según la oferta.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,Modalidad telemedicina: Categoría interactiva y no interactiva – prestador de referencia,11.3.1,2,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente, cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,Modalidad telemedicina: Categoría interactiva y no interactiva – prestador de referencia,11.3.1,2,2.1,• Profesional de la salud de acuerdo con el servicio a ofertar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,Modalidad telemedicina: Categoría telexperticia - prestador remisor,11.3.1,3,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,Modalidad telemedicina: Categoría telexperticia - prestador remisor,11.3.1,3,3.1,• Cuando se realice telexperticia entre profesionales de la salud cuenta con el profesional de la salud de acuerdo con el servicio a ofertar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,Modalidad telemedicina: Categoría telexperticia - prestador de referencia,11.3.1,4,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con profesional de la salud que atiende a distancia, de acuerdo con el servicio a ofertar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,Modalidad telemedicina: Categoría telemonitoreo - prestador de referencia,11.3.1,5,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con el personal de salud profesional que se requiera para realizar el telemonitoreo de acuerdo con lo documentado por el prestador de servicios de salud en el estándar de procesos prioritarios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.1,6,,"Cumple con los criterios que le sean aplicables de todos los servicios, y adicionalmente,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.1,7,,"De acuerdo con el tipo de terapia ofertada, el servicio cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.1,7,7.1,"• Área para camillas, sillas de ruedas y demás aditamentos o ayudas ortopédicas, cuando se requiera.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.1,7,7.2,"• Vestidor de pacientes, con área para casilleros y unidad sanitaria de uso mixto, cuando el tipo de terapia lo requiera de acuerdo con lo documentado en procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.1,7,7.3,"• Ambiente para realizar entrevista, cuando se requiera de acuerdo con lo documentado en procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.1,7,7.4,"• Área para atención individual, con barrera física fija o móvil, cuando el tipo de terapia requiera privacidad para el paciente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.1,7,7.5,"• Área de depósito para almacenamiento de insumos, equipos biomédicos y materiales, cuando el tipo de terapia lo requiera de acuerdo con lo documentado en procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.1,7,7.6,"• Área con equipamiento para actividades de terapia ocupacional, cuando se requiera de acuerdo con lo documentado en procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.1,7,7.7,"• Área húmeda o de hidroterapia (cuando se oferte), que debe garantizar pisos antideslizantes y tomas eléctricas con protección para ambientes húmedos cuando se requiera de acuerdo con lo documentado en procesos prioritarios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.1,8,,"Para fonoaudiología o terapia ocupacional, cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.1,8,8.1,"• Área para sillas y mesas para trabajo individual o grupal para niños o adultos, según la oferta.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.1,8,8.2,"• Ambiente para cabina sono-amortiguada o equipo de audiometría, depende del procedimiento que se oferte.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.1,9,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.1,9,9.1,• Sala de espera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad intramural,11.3.1,9,9.2,• Unidades sanitarias discriminadas por sexo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,"Modalidades extramural unidad móvil, jornada de salud y domiciliaria",11.3.1,10,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Modalidad telemedicina: Categoría interactiva y no interactiva – prestador de referencia,11.3.1,11,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Categoría telexperticia - prestador remisor,11.3.1,12,,Cumple con los criterios establecidos en el servicio de terapias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Categoría telexperticia - prestador de referencia,11.3.1,13,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,Categoría telemonitoreo - prestador de referencia,11.3.1,14,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  ,No aplica,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.3.1,15,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con: 
La dotación requerida para realizar los procedimientos de acuerdo con lo documentado en el estándar de procesos prioritarios",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,No aplica,Modalidad telemedicina: Categoría interactiva y no interactiva – prestador de referencia,11.3.1,16,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,No aplica,Modalidad telemedicina: Categoría telexperticia - prestador remisor,11.3.1,17,,Cumple con los criterios que le sean aplicables de todos los servicios y los establecidos en el servicio de terapias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,No aplica,Modalidad telemedicina: Categoría telexperticia - prestador de referencia,11.3.1,18,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,No aplica,Modalidad telemedicina:  Categoría telemonitoreo - prestador de referencia,11.3.1,19,,Cumple con los criterios que le sean aplicables de todos los servicios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDICAMENTOS, DM E INSUMOS",No aplica,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.3.1,20,,Cumple con los criterios que le sean aplicables de todos los servicios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDICAMENTOS, DM E INSUMOS",No aplica,Modalidad telemedicina: Categoría interactiva y no interactiva – prestador de referencia Categoría telexperticia - prestador remisor- prestador de referencia Categoría telemonitoreo - prestador de referencia,11.3.1,21,,Cumple con los criterios que le sean aplicables de todos los servicios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,No aplica,"Modalidades intramural, extramural unidad móvil, jornada de salud, y domiciliaria",11.3.1,22,,"Cumple con los criterios que le sean aplicables de todos los servicios, adicionalmente, cuenta con la siguiente información documentada: 
Procedimientos que incluyan las áreas o ambientes, equipos biomédicos y dispositivos médicos e insumos requeridos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,No aplica,Modalidad telemedicina: Categoría interactiva y no interactiva – prestador de referencia,11.3.1,23,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,No aplica,Modalidad telemedicina: Categoría telexperticia - prestador remisor,11.3.1,24,,Cumple con los criterios que le sean aplicables de todos los servicios y los establecidos en el servicio de terapias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,No aplica,Modalidad telemedicina: Categoría telexperticia - prestador de referencia,11.3.1,25,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,No aplica,Modalidad telemedicina: Categoría telemonitoreo - prestador de referencia,11.3.1,26,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTORIA CLÍNICA Y REGISTROS,No aplica,"Modalidades intramural, extramural unidad móvil, jornada de salud y domiciliaria",11.3.1,27,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
