standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGOS,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,Todas,Modalidades intramural y extramural domiciliaria,11.3.2,1,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente:
Cumple con lo definido en el Decreto 2200 de 2005, compilado en el Decreto 780 de 2016 (Art 2.5.3.10.9), y la Resolución 1403 de 2007 (Manual de condiciones esenciales y procedimientos del servicio farmacéutico Título I Capítulo II Numerales 3.2, 3.2.1; 3.2.2 y Capítulo III Numeral 1.2), o las normas que los modifiquen, adicionen o sustituyan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Todas,Modalidad telemedicina: Categoría interactiva y no interactiva – prestador de referencia Categoría telexperticia – prestador remisor – prestador de referencia,11.3.2,2,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente, cuenta con lo definido con el numeral 1 del servicio farmacéutico.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Todas,Modalidad telemedicina: Categoría interactiva y no interactiva – prestador de referencia Categoría telexperticia – prestador remisor – prestador de referencia,11.3.2,3,,"El talento humano brinda en esta modalidad lo relacionado con la atención farmacéutica a los pacientes que lo requieran, a través de telemedicina – categorías interactiva y no interactiva, telexperticia sincrónico y asincrónico. El apoyo a distancia del profesional Químico Farmacéutico no reemplaza el contar con el talento humano definido en el servicio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Baja,"Modalidades intramural, extramural domiciliaria, telemedicina categoría telexperticia – prestador remisor",11.3.2,4,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Baja,"Modalidades intramural, extramural domiciliaria, telemedicina categoría telexperticia – prestador remisor",11.3.2,5,,Cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Baja,"Modalidades intramural, extramural domiciliaria, telemedicina categoría telexperticia – prestador remisor",11.3.2,5,5.1,• Ambiente o área administrativa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Baja,"Modalidades intramural, extramural domiciliaria, telemedicina categoría telexperticia – prestador remisor",11.3.2,5,5.2,• Ambiente o área de recepción de medicamentos y dispositivos médicos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Baja,"Modalidades intramural, extramural domiciliaria, telemedicina categoría telexperticia – prestador remisor",11.3.2,5,5.3,• Ambiente o área de dispensación de medicamentos y entrega de dispositivos médicos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Baja,"Modalidades intramural, extramural domiciliaria, telemedicina categoría telexperticia – prestador remisor",11.3.2,5,5.4,"• Ambiente o área de almacenamiento, que garantice las condiciones temperatura y humedad recomendadas por el fabricante. Incluye cadena de frio, cuando aplique.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Baja,"Modalidades intramural, extramural domiciliaria, telemedicina categoría telexperticia – prestador remisor",11.3.2,5,5.5,"• Ambiente o área independiente de medicamentos de control especial cuando aplique, que garantice las condiciones temperatura y humedad recomendadas por el fabricante.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
