standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGOS,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,No aplica,Modalidades intramural y extramural unidad móvil,11.3.3,1,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente, cuenta con: Profesional de odontología o tecnólogo en radiología e imágenes diagnósticas, o técnico profesional o auxiliar de odontología o auxiliar en salud oral o auxiliar de higiene oral.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,Modalidades intramural y extramural unidad móvil,11.3.3,2,,"Disponibilidad de profesional de la odontología, si la toma de radiografías la realiza un auxiliar de odontología o auxiliar en salud oral o auxiliar de higiene oral.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,Modalidades intramural y extramural unidad móvil,11.3.3,3,,La interpretación de las radiografías odontológicas es realizada por el profesional de la odontología.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,Modalidad telemedicina: Categoría telexperticia - prestador remisor,11.3.3,4,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,Modalidad telemedicina: Categoría telexperticia - prestador remisor,11.3.3,4,4.1,• Cuando se realice telexperticia entre profesionales de la salud cuenta con el profesional de la salud.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,Modalidad telemedicina: Categoría telexperticia - prestador remisor,11.3.3,4,4.2,"• Cuando realice telexperticia entre personal de salud no profesional y un profesional de la salud, el prestador remisor cuenta con técnico, tecnólogo o auxiliar que atiende presencialmente al usuario.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,No aplica,Modalidad telemedicina: Categoría telexperticia - prestador de referencia,11.3.3,5,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con profesional de la salud que atiende a distancia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,"Modalidades intramural, telemedicina - prestador remisor",11.3.3,6,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,"Modalidades intramural, telemedicina - prestador remisor",11.3.3,6,6.1,"• Ambiente de radiología odontológica, si la tecnología lo requiere. Las dimensiones estarán determinadas según la ficha técnica del equipo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,"Modalidades intramural, telemedicina - prestador remisor",11.3.3,6,6.2,"• Área de revelado o ambiente oscuro con extracción de gases e iluminación adecuada, con mesón de trabajo con poceta, si la tecnología lo requiere.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,"Modalidades intramural, telemedicina - prestador remisor",11.3.3,7,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,"Modalidades intramural, telemedicina - prestador remisor",11.3.3,7,7.1,• Sala de espera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,No aplica,"Modalidades intramural, telemedicina - prestador remisor",11.3.3,7,7.2,• Unidades sanitarias discriminadas por sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
