standar,complexity,modality,article,section,paragraph,criteria,cumply,NO CUMPLE,applys,HALLAZGOS,,ACCIÓN PARA EL CUMPLIMIENTO,RESPONSABLE,FECHA LIMITE PARA IMPLEMENTAR,SEGUIMIENTO 1,,ESTADO DE LA ACCIÓN 1,,SEGUIMIENTO 2,,ESTADO DE LA ACCIÓN 2,,SEGUIMIENTO 3,,ESTADO DE LA ACCIÓN 3,,SEGUIMIENTO 4,,ESTADO DE LA ACCIÓN 4,,SEGUIMIENTO 5,,ESTADO DE LA ACCIÓN 5,,SEGUIMIENTO 6,,ESTADO DE LA ACCIÓN 6
TALENTO HUMANO,Baja,"Modalidades intramural, extramural unidad móvil, telemedicina - prestador remisor",11.3.4.1,1,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Baja,"Modalidades intramural, extramural unidad móvil, telemedicina - prestador remisor",11.3.4.1,2,,"Cuenta con: Técnico profesional o tecnólogo en imágenes diagnósticas, para la operación de equipos y adquisición de imágenes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Baja,"Modalidades intramural, extramural unidad móvil, telemedicina - prestador remisor",11.3.4.1,3,,"Disponibilidad de: Médico especializado en radiología e imágenes diagnósticas o aquellos médicos especialistas quienes en su pensum o formación académica hayan adquirido los conocimientos del manejo e interpretación del espectro electromagnético, del ultrasonido especialmente, así como de las radiaciones ionizantes para establecer el diagnóstico y/o el tratamiento de las enfermedades inherentes a sus especialidades, para lo cual deberán acreditar el respectivo certificado. La interpretación de las radiografías e imágenes diagnósticas  y la supervisión del técnico profesional   o tecnólogo en imágenes diagnósticas es realizada por dichos profesionales.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana,"Modalidades extramural unidad móvil, telemedicina - prestador remisor",11.3.4.1,4,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana,"Modalidades extramural unidad móvil, telemedicina - prestador remisor",11.3.4.1,4,4.1,"• Tecnólogo en radiología e imágenes diagnósticas para la operación de equipos y adquisición de imágenes, con supervisión por el profesional de la medicina especialista en radiología e imágenes diagnósticas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana,"Modalidades extramural unidad móvil, telemedicina - prestador remisor",11.3.4.1,4,4.2,"• Médico especializado en radiología e imágenes diagnósticas o aquellos médicos especialistas quienes en su pensum o formación académica hayan adquirido los conocimientos del manejo  e interpretación del espectro electromagnético, del ultrasonido especialmente, así como de las radiaciones ionizantes para establecer el diagnóstico y/o el tratamiento de las enfermedades inherentes a sus especialidades, para lo cual deberán acreditar el respectivo certificado. La interpretación de las radiografías e imágenes diagnósticas y la supervisión del técnico profesional o tecnólogo en imágenes diagnósticas es realizada por dichos profesionales.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana y alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,5,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana y alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,5,5.1,"• Tecnólogo en radiología e imágenes diagnósticas para la operación de equipos y adquisición de imágenes, con supervisión por el profesional de la medicina especialista en radiología e imágenes diagnósticas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Mediana y alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,5,5.2,"• Médico especializado en radiología e imágenes diagnósticas o aquellos médicos especialistas quienes en su pensum o formación académica hayan adquirido los conocimientos del manejo e interpretación del espectro electromagnético, del ultrasonido especialmente, así como de las radiaciones ionizantes para establecer el diagnóstico y/o el tratamiento de las enfermedades inherentes a sus especialidades, para lo cual deberán acreditar el respectivo certificado. La interpretación de las radiografías e imágenes diagnósticas y la supervisión del técnico profesional o tecnólogo en imágenes diagnósticas es realizada por dichos profesionales.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Todas,Modalidad telemedicina - prestador de referencia,11.3.4.1,6,,Cumple con los criterios que le sean aplicables de todos los servicios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALENTO HUMANO,Todas,Modalidad telemedicina - prestador de referencia,11.3.4.1,7,,"La interpretación de las imágenes diagnósticas es realizada médico especializado en radiología e imágenes diagnósticas o aquellos médicos especialistas quienes en su pensum o formación académica hayan adquirido los conocimientos del manejo e interpretación del espectro electromagnético, del ultrasonido especialmente, así como de las radiaciones ionizantes para establecer el diagnóstico y/o el tratamiento de las enfermedades inherentes a sus especialidades, para lo cual deberán acreditar el respectivo certificado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Todas,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,8,,Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Todas,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,8,8.1,"• Vestidor de pacientes, con disponibilidad de área para casilleros, que puede ser compartido con los ambientes de la baja, mediana y alta complejidad.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Todas,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,8,8.2,"• Área para almacenamiento de dispositivos médicos e insumos, que puede ser compartido con los ambientes de la baja, mediana y alta complejidad.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Todas,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,8,8.3,"• Ambiente oscuro con luz de seguridad de acuerdo con la tecnología del equipo o, área o ambiente de procesamiento de imágenes, cuando se requiera. Puede ser compartido con los ambientes de la baja, mediana y alta complejidad.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Todas,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,9,,Disponibilidad de:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Todas,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,9,9.1,• Sala de espera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Todas,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,9,9.2,• Unidades sanitarias discriminadas por sexo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Todas,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,9,9.3,• Ambiente de lectura y transcripción de resultados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Baja,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,10,,"Cuando se realicen procedimientos de radiología, adicionalmente cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Baja,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,10,10.1,"• Ambiente exclusivo, para el equipo generador de radiación ionizante. La dimensión de este ambiente debe ser acorde al tipo de equipo generador de radiación ionizante, su ficha técnica y a los procedimientos que se realicen, debe permitir movilización del talento humano, pacientes, usuarios y equipos biomédicos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Baja,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,10,10.2,"• Área o ambiente de control / comando del equipo, de acuerdo con la tecnología a utilizar, que permita visualización del paciente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,11,,"Cuando se realicen procedimientos de radiología sin medio de contraste, cumple con los criterios de la complejidad baja.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,12,,"Cuando se realicen procedimientos con medio de contraste, cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,12,12.1,"• Ambiente exclusivo acorde al tipo de equipo generador de radiación ionizante, su ficha técnica y a los procedimientos que se realicen, debe permitir movilización del talento humano, pacientes, usuarios y equipos biomédicos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,12,12.2,"• Área o ambiente de control / comando del equipo, de acuerdo con la tecnología a utilizar, que permita visualización del paciente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,12,12.3,• Área de preparación de pacientes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Mediana,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,12,12.4,• Disponibilidad de área o ambiente de trabajo sucio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,13,,"Cuando se realicen procedimientos de radiología sin medio de contraste, cumple con los criterios de la complejidad baja.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,14,,"Cuando se realicen procedimientos con medio de contraste, cumple con los criterios de la complejidad mediana.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,15,,"Cuando se realicen procedimientos de radiología intervencionista fuera de salas de cirugía, cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,15,15.1,"• Área para lavamanos quirúrgico, ubicada al ingreso del ambiente de procedimientos de radiología intervencionista.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,15,15.2,"• Ambiente exclusivo acorde al tipo de equipo generador de radiación ionizante, su ficha técnica y a los procedimientos que se realicen, debe permitir movilización del talento humano, pacientes, usuarios y equipos biomédicos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,15,15.3,• Área de recepción y entrega de pacientes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,15,15.4,• Ambiente o área de recuperación con disponibilidad de oxígeno medicinal y succión. Pueden ser suministrados a través de red central de oxígeno medicinal y succión o a través de oxígeno medicinal portátil y equipos de succión.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,15,15.5,"• Área o ambiente de control / comando del equipo, de acuerdo con la tecnología a utilizar, que permita visualización del paciente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,15,15.6,• Disponibilidad de unidad sanitaria de uso mixto.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Baja y mediana,"Modalidades extramural unidad móvil, telemedicina - prestador remisor",11.3.4.1,16,,"Cumple con los criterios que le sean aplicables de todos los servicios y con los de la baja y mediana complejidad de la modalidad intramural y adicionalmente cuenta con:
Sistema de alimentación eléctrica, según indicaciones del fabricante para el tipo de equipo y tecnología, con fijación piso-techo cuando aplique",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFRAESTRUCTURA,Todas,Modalidad telemedicina - prestador de referencia,11.3.4.1,17,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Baja,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,18,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Baja,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,19,,Cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Baja,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,19,19.1,• Equipo generador de radiación ionizante según los exámenes diagnósticos realizados.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Baja,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,19,19.2,• Pantalla o monitor grado médico para imágenes radiológicas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Baja,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,19,19.3,"• Elementos de protección radiológica adulto o pediátrico, según oferta, protocolos y especificaciones del equipo:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Baja,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,19,19.3.1,• Delantal plomado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Baja,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,19,19.3.2,• Protector de tiroides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Baja,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,19,19.3.3,• Protector de gónadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Baja,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,19,19.3.4,• Gafas plomadas cuando se requiera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Mediana y alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,20,,"Adicional a lo definido para baja complejidad, cuando se realicen procedimientos invasivos (biopsias, drenajes y punciones) con guía ecográfica, cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Mediana y alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,20,20.1,• Mesa para instrumental.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Mediana y alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,21,,"Adicional a lo definido para baja complejidad, cuando se realicen procedimientos especiales menores (estudios con medio de contraste), cuenta con:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Mediana y alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,21,21.1,• Fluoroscopio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Mediana y alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,21,21.2,"• Inyector de medios de contraste, cuando se requiera.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Mediana y alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,22,,Disponibilidad de carro de paro cuando se utilice medio de contraste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Baja y mediana,"Modalidades extramural unidad móvil, telemedicina - prestador remisor",11.3.4.1,23,,Cumple con los criterios que le sean aplicables de todos los servicios y los de la modalidad intramural baja complejidad y adicionalmente cuenta con:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Baja y mediana,"Modalidades extramural unidad móvil, telemedicina - prestador remisor",11.3.4.1,23,23.1,"• El o los equipos generadores de radiaciones ionizantes, cuyas indicaciones del fabricante refieran que está diseñado para ser instalado y operado en una unidad móvil.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Baja y mediana,"Modalidades extramural unidad móvil, telemedicina - prestador remisor",11.3.4.1,23,23.2,• La unidad móvil está dotada con señal luminosa o sonora indicando la presencia de radiación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Todas,Modalidad telemedicina - prestador remisor,11.3.4.1,24,,"Cumple con los criterios que le sean aplicables de todos los servicios y los de la modalidad intramural y adicionalmente cuenta con equipo de captura y transmisión de datos e imágenes que asegure las condiciones de visualización de imagen y lectura, el cual puede estar integrado al equipo generador de radiaciones ionizantes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOTACIÓN,Todas,Modalidad telemedicina - prestador de referencia,11.3.4.1,25,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente, cuenta con pantalla o monitor grado médico para imágenes radiológicas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDICAMENTOS, DM E INSUMOS",Todas,"Modalidades intramural – extramural unidad móvil, telemedicina - prestador remisor – prestador de referencia",11.3.4.1,26,,Cumple con los criterios que le sean aplicables de todos los servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MEDICAMENTOS, DM E INSUMOS",Mediana y alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,27,,"Adicional al cumplimiento de los criterios definidos para todos los servicios, si realiza procedimientos con medio de contraste o intervencionismo, cuenta con oxígeno medicinal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Baja,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,28,,"Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente, cuenta con la siguiente información documentada:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Baja,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,28,28.1,"• Realización y supervisión de los exámenes diagnósticos que incluya como mínimo: técnica diagnóstica, calidad de la imagen y radio protección",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Baja,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,28,28.2,• Instrucciones a los pacientes sobre la preparación de los procedimientos diagnósticos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Baja,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,28,28.3,"• Acciones para evitar el efecto nocivo de las radiaciones para los pacientes, el personal, los visitantes y el público en general.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Baja,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,28,28.4,"• Verificación de la calidad de la imagen, incluida la toma de medidas preventivas y correctivas, cuando se requiera.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Baja,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,28,28.5,"• Control de calidad del equipo generador de radiación ionizante, que incluye la toma de medidas correctivas cuando aplique.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Mediana,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,29,,"Cumple con los criterios definidos para la baja complejidad y adicionalmente, cuenta con la siguiente información documentada:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Mediana,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,29,29.1,• Procedimiento cuando se administre medio de contraste.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,30,,Cumple con los criterios definidos para la baja y mediana complejidad y adicionalmente cuenta con la siguiente información documentada:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESOS PRIORITARIOS,Alta,"Modalidades intramural, telemedicina - prestador remisor",11.3.4.1,30,30.1,"• Procedimiento para radiología intervencionista, cuando lo realice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
